,title,artist,source,reference,product,income_type,income_period,rate,quantity,amount_received,percent_payable,amount_payable
184,Bal ls - Amy Rigby,Amy Rigby,DIGI,ihea rt Premium,,17131,01/20 - 01/20,0 .00000000,5,0.00,50.00,$ 0.00
185,Bal ls - Amy Rigby,Amy Rigby,"Music Reports, Inc. - USA",Pandora Plus,,17006,12/19 - 12/19,0 .00000000,13,0.00,50.00,$ 0.00
186,Bal ls - Amy Rigby,Amy Rigby,DIGI,Pandora,,17006,12/19 - 12/19,0 .00000000,5,0.00,50.00,$ 0.00
187,Bal ls - Amy Rigby,Amy Rigby,DIGI,Hoopla,,17008,12/19 - 12/19,0 .00000000,2,0.01,50.00,$ 0.00
188,Bal ls - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17014,11/19 - 11/19,0 .00000000,20,0.03,50.00,$ 0.01
189,Bal ls - Amy Rigby,Amy Rigby,DIGI,Tidal - Premium,,17016,01/19 - 01/19,0 .00000000,6,0.00,50.00,$ 0.00
190,Bal ls - Amy Rigby,Amy Rigby,Pandora - USA,Pandora Plus,,17133,01/20 - 01/20,0 .00000000,29,0.01,50.00,$ 0.01
191,Bal ls - Amy Rigby,Amy Rigby,DIGI,Pandora,,17133,01/20 - 01/20,0 .00000000,21,0.01,50.00,$ 0.01
192,Bal ls - Amy Rigby,Amy Rigby,DIGI,Pandora,,17133,01/20 - 01/20,0 .00000000,8,0.00,50.00,$ 0.00
193,Bal ls - Amy Rigby,Amy Rigby,DIGI,Pandora Plus,,17523,02/20 - 02/20,0 .00000000,29,0.01,50.00,$ 0.01
194,Bal ls - Amy Rigby,Amy Rigby,DIGI,Pandora,,17523,02/20 - 02/20,0 .00000000,21,0.01,50.00,$ 0.01
195,Bal ls - Amy Rigby,Amy Rigby,DIGI,Pandora,,17523,02/20 - 02/20,0 .00000000,1,0.00,50.00,$ 0.00
196,Bal ls - Amy Rigby,Amy Rigby,DIGI,Pandora Plus,,17536,03/20 - 03/20,0 .00000000,17,0.01,50.00,$ 0.00
197,Bal ls - Amy Rigby,Amy Rigby,DIGI,Pandora,,17536,03/20 - 03/20,0 .00000000,11,0.01,50.00,$ 0.00
198,Bal ls - Amy Rigby,Amy Rigby,DIGI,Pandora,,17536,03/20 - 03/20,0 .00000000,1,0.00,50.00,$ 0.00
199,Bal ls - Amy Rigby,Amy Rigby,DIGI,Pandora Plus,,17583,04/20 - 04/20,0 .00000000,23,0.01,50.00,$ 0.01
200,Bal ls - Amy Rigby,Amy Rigby,DIGI,Pandora,,17583,04/20 - 04/20,0 .00000000,8,0.01,50.00,$ 0.00
201,Bal ls - Amy Rigby,Amy Rigby,DIGI,Amy Rigby,,18039,05/20 - 05/20,0 .00000000,24,0.01,50.00,$ 0.01
202,50.00,Amy Rigby,"Spotify USA, Inc. - USA",Amy Rigby,,17426,05/19 - 05/19,0 .00000000,22,0.01,50.00,$ 0.00
203,50.00,Amy Rigby,DIGI,Amy Rigby,,17428,06/19 - 06/19,0 .00000000,31,0.01,50.00,$ 0.01
204,50.00,Amy Rigby,DIGI,Amy Rigby,,17431,07/19 - 07/19,0 .00000000,31,0.01,50.00,$ 0.01
205,50.00,Amy Rigby,DIGI,Amy Rigby,,17434,08/19 - 08/19,0 .00000000,24,0.01,50.00,$ 0.01
206,50.00,Amy Rigby,DIGI,Amy Rigby,,17437,09/19 - 09/19,0 .00000000,44,0.02,50.00,$ 0.01
207,50.00,Amy Rigby,DIGI,Amy Rigby,,17440,10/19 - 10/19,0 .00000000,69,0.03,50.00,$ 0.01
208,50.00,Amy Rigby,DIGI,Amy Rigby,,17443,11/19 - 11/19,0 .00000000,70,0.03,50.00,$ 0.01
209,50.00,Amy Rigby,DIGI,Amy Rigby,,17446,12/19 - 12/19,0 .00000000,36,0.01,50.00,$ 0.00
210,50.00,Amy Rigby,DIGI,Amy Rigby,,17929,01/20 - 01/20,0 .00000000,138,0.06,50.00,$ 0.03
211,50.00,Amy Rigby,MECH,Amy Rigby,,17930,02/20 - 02/20,0 .00000000,184,0.09,50.00,$ 0.04
212,50.00,Amy Rigby,MECH,Amy Rigby,,17931,03/20 - 03/20,0 .00000000,38,0.02,50.00,$ 0.01
213,50.00,Amy Rigby,Tidal - USA,Tidal - Premium,,17524,03/20 - 03/20,0 .00000000,10,0.01,50.00,$ 0.00
214,50.00,Amy Rigby,DIGI,Tidal - Premium,,17584,05/20 - 05/20,0 .00000000,6,0.01,50.00,$ 0.00
215,50.00,Amy Rigby,XUS Interna tional Publ ishing - South Africa,Xandrie S.A.,,17896,07/19 - 12/19,0 .00000000,1,0.03,50.00,$ 0.01
216,50.00,Amy Rigby,XUS Interna tional Publ ishing - United Kingdom,Google,,17896,07/19 - 12/19,0 .00000000,8,0.01,50.00,$ 0.01
217,50.00,Amy Rigby,DIGI,iTunes,,17896,07/19 - 12/19,0 .00000000,1,0.03,50.00,$ 0.01
218,Beer And Kisses - Amy Rigby,Amy Rigby,"AMI En tertainment, Inc. - USA",Amy Rigby,,17364,07/19 - 09/19,0 .00000000,2,0.01,50.00,$ 0.01
219,Beer And Kisses - Amy Rigby,Amy Rigby,Amazon Music Free Tier - USA,Ad-supported,,17115,11/19 - 11/19,0 .00000000,1,0.00,50.00,$ 0.00
220,Beer And Kisses - Amy Rigby,Amy Rigby,DIGI,Ad-supported,,17530,02/20 - 02/20,0 .00000000,1,0.00,50.00,$ 0.00
221,Beer And Kisses - Amy Rigby,Amy Rigby,Amazon Music Unlimited - USA,Amazon Mu sic,,17116,12/19 - 12/19,0 .00000000,17,0.02,50.00,$ 0.01
222,Beer And Kisses - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17129,01/20 - 01/20,0 .00000000,68,0.11,50.00,$ 0.05
223,Beer And Kisses - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17532,02/20 - 02/20,0 .00000000,94,0.16,50.00,$ 0.08
224,Beer And Kisses - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17581,03/20 - 03/20,0 .00000000,48,0.07,50.00,$ 0.04
225,Beer And Kisses - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17582,04/20 - 04/20,0 .00000000,37,0.06,50.00,$ 0.03
226,Beer And Kisses - Amy Rigby,Amy Rigby,DIGI,Amy Rigby,,18035,05/20 - 05/20,0 .00000000,24,0.04,50.00,$ 0.02
227,Beer And Kisses - Amy Rigby,Amy Rigby,Amazon Prime Music - USA,Amazon Prime,,17112,12/19 - 12/19,0 .00000000,8,0.01,50.00,$ 0.00
228,Beer And Kisses - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17114,11/19 - 11/19,0 .00000000,11,0.01,50.00,$ 0.01
229,Beer And Kisses - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17130,01/20 - 01/20,0 .00000000,42,0.07,50.00,$ 0.04
230,Beer And Kisses - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17534,02/20 - 02/20,0 .00000000,38,0.07,50.00,$ 0.04
231,Beer And Kisses - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17571,03/20 - 03/20,0 .00000000,7,0.01,50.00,$ 0.01
232,Beer And Kisses - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17580,04/20 - 04/20,0 .00000000,5,0.01,50.00,$ 0.00
233,Beer And Kisses - Amy Rigby,Amy Rigby,DIGI,Amy Rigby,,18033,05/20 - 05/20,0 .00000000,6,0.01,50.00,$ 0.00
234,50.00,Amy Rigby,"Apple, Inc. - USA",Amy Rigby,,17309,10/19 - 12/19,0 .00000000,225,0.10,50.00,$ 0.05
235,50.00,Amy Rigby,DIGI,Amy Rigby,,17934,01/20 - 03/20,0 .00000000,672,0.30,50.00,$ 0.15
236,50.00,Amy Rigby,CMRRA - Canada,Apple,,17264,07/17 - 09/17,0 .00000000,0,0.14,50.00,$ 0.07
237,50.00,Amy Rigby,DIGI,Emusic,,17264,07/17 - 09/17,0 .00000000,0,0.15,50.00,$ 0.07
238,50.00,Amy Rigby,"Google, Inc. - USA",Amy Rigby,,17221,10/19 - 12/19,0 .00000000,17,0.02,50.00,$ 0.01
239,50.00,Amy Rigby,"Google, Inc. - YouTube - USA",17464,,DIGI,10/19 - 12/19,0 .00000000,32,0.02,50.00,$ 0.01
240,50.00,Amy Rigby,"Music Reports, Inc. - USA",Pandora Plus,,17006,12/19 - 12/19,0 .00000000,5,0.00,50.00,$ 0.00
241,50.00,Amy Rigby,DIGI,Pandora,,17006,12/19 - 12/19,0 .00000000,2,0.00,50.00,$ 0.00
242,50.00,Amy Rigby,DIGI,Hoopla,,17008,12/19 - 12/19,0 .00000000,1,0.00,50.00,$ 0.00
243,50.00,Amy Rigby,DIGI,ihea rt Plus,,17010,12/19 - 12/19,0 .00000000,2,0.01,50.00,$ 0.00
244,50.00,Amy Rigby,DIGI,Amazon Mu sic,,17014,11/19 - 11/19,0 .00000000,31,0.04,50.00,$ 0.02
245,50.00,Amy Rigby,DIGI,Tidal - Premium,,17016,01/19 - 01/19,0 .00000000,4,0.00,50.00,$ 0.00
246,50.00,Amy Rigby,Pandora - USA,Pandora Plus,,17133,01/20 - 01/20,0 .00000000,9,0.00,50.00,$ 0.00
247,50.00,Amy Rigby,DIGI,Pandora,,17133,01/20 - 01/20,0 .00000000,14,0.01,50.00,$ 0.00
248,50.00,Amy Rigby,DIGI,Pandora Plus,,17523,02/20 - 02/20,0 .00000000,8,0.00,50.00,$ 0.00
249,50.00,Amy Rigby,DIGI,Pandora,,17523,02/20 - 02/20,0 .00000000,10,0.01,50.00,$ 0.00
250,50.00,Amy Rigby,DIGI,Pandora Plus,,17536,03/20 - 03/20,0 .00000000,5,0.00,50.00,$ 0.00
251,50.00,Amy Rigby,DIGI,Pandora,,17536,03/20 - 03/20,0 .00000000,4,0.00,50.00,$ 0.00
252,50.00,Amy Rigby,DIGI,Pandora Plus,,17583,04/20 - 04/20,0 .00000000,6,0.00,50.00,$ 0.00
253,50.00,Amy Rigby,DIGI,Pandora,,17583,04/20 - 04/20,0 .00000000,3,0.00,50.00,$ 0.00
254,50.00,Amy Rigby,DIGI,Amy Rigby,,18039,05/20 - 05/20,0 .00000000,13,0.01,50.00,$ 0.00
255,50.00,Amy Rigby,"Spotify USA, Inc. - USA",Amy Rigby,,17424,04/19 - 04/19,0 .00000000,40,0.02,50.00,$ 0.01
256,50.00,Amy Rigby,DIGI,Amy Rigby,,17426,05/19 - 05/19,0 .00000000,41,0.02,50.00,$ 0.01
257,50.00,Amy Rigby,DIGI,Amy Rigby,,17428,06/19 - 06/19,0 .00000000,35,0.01,50.00,$ 0.01
258,50.00,Amy Rigby,DIGI,Amy Rigby,,17431,07/19 - 07/19,0 .00000000,29,0.01,50.00,$ 0.01
259,50.00,Amy Rigby,DIGI,Amy Rigby,,17434,08/19 - 08/19,0 .00000000,30,0.01,50.00,$ 0.01
260,50.00,Amy Rigby,DIGI,Amy Rigby,,17437,09/19 - 09/19,0 .00000000,55,0.02,50.00,$ 0.01
261,50.00,Amy Rigby,DIGI,Amy Rigby,,17440,10/19 - 10/19,0 .00000000,78,0.03,50.00,$ 0.01
262,50.00,Amy Rigby,DIGI,Amy Rigby,,17443,11/19 - 11/19,0 .00000000,62,0.03,50.00,$ 0.01
263,50.00,Amy Rigby,DIGI,Amy Rigby,,17446,12/19 - 12/19,0 .00000000,30,0.01,50.00,$ 0.00
264,50.00,Amy Rigby,DIGI,Amy Rigby,,17929,01/20 - 01/20,0 .00000000,172,0.07,50.00,$ 0.04
265,50.00,Amy Rigby,MECH,Amy Rigby,,17930,02/20 - 02/20,0 .00000000,252,0.11,50.00,$ 0.06
266,50.00,Amy Rigby,MECH,Amy Rigby,,17931,03/20 - 03/20,0 .00000000,86,0.04,50.00,$ 0.02
267,50.00,Amy Rigby,"Th e Orchard Enterprises, Inc. - USA",Amy Rigby,,17393,03/19 - 03/19,0 .00000000,4,0.32,50.00,$ 0.16
268,50.00,Amy Rigby,DIGI,Amy Rigby,,17397,07/19 - 07/19,0 .00000000,4,0.32,50.00,$ 0.16
269,50.00,Amy Rigby,DIGI,Amy Rigby,,17399,09/19 - 09/19,0 .00000000,1,0.07,50.00,$ 0.03
270,50.00,Amy Rigby,DIGI,Amy Rigby,,17402,12/19 - 12/19,0 .00000000,3,0.24,50.00,$ 0.12
271,"Th e Orchard Enterprises, Inc. - USA",Amy Rigby,Tidal - USA,Tidal - Premium,,17524,03/20 - 03/20,0 .00000000,5,0.00,50.00,$ 0.00
272,"Th e Orchard Enterprises, Inc. - USA",Amy Rigby,DIGI,Tidal - Premium,,17584,05/20 - 05/20,0 .00000000,7,0.01,50.00,$ 0.00
273,"Th e Orchard Enterprises, Inc. - USA",Amy Rigby,XUS Interna tional Publ ishing - South Africa,Xandrie S.A.,,17896,07/19 - 12/19,0 .00000000,1,0.03,50.00,$ 0.01
274,"Th e Orchard Enterprises, Inc. - USA",Amy Rigby,XUS Interna tional Publ ishing - United Kingdom,BBC,,17896,07/19 - 12/19,0 .00000000,27,0.03,50.00,$ 0.01
275,"Th e Orchard Enterprises, Inc. - USA",Amy Rigby,MECH,Google,,17896,07/19 - 12/19,0 .00000000,5,0.01,50.00,$ 0.01
276,Better Stay Gone - Amy Rigby,Amy Rigby,CMRRA - Canada,Emusic,,17264,07/17 - 09/17,0 .00000000,0,0.01,50.00,$ 0.00
277,Call ing Professor Longhair - Amy Rigby,Amy Rigby,CMRRA - Canada,Emusic,,17264,07/17 - 09/17,0 .00000000,0,0.01,50.00,$ 0.00
278,Cynical ly Yours - Amy Rigby,Amy Rigby,Amazon Music Free Tier - USA,Ad-supported,,17530,02/20 - 02/20,0 .00000000,1,0.00,50.00,$ 0.00
279,Cynical ly Yours - Amy Rigby,Amy Rigby,DIGI,Amy Rigby,,18030,05/20 - 05/20,0 .00000000,1,0.00,50.00,$ 0.00
280,Cynical ly Yours - Amy Rigby,Amy Rigby,Amazon Music Unlimited - USA,Amazon Mu sic,,17116,12/19 - 12/19,0 .00000000,20,0.02,50.00,$ 0.01
281,Cynical ly Yours - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17129,01/20 - 01/20,0 .00000000,63,0.10,50.00,$ 0.05
282,Cynical ly Yours - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17532,02/20 - 02/20,0 .00000000,42,0.07,50.00,$ 0.03
283,Cynical ly Yours - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17581,03/20 - 03/20,0 .00000000,24,0.04,50.00,$ 0.02
284,Cynical ly Yours - Amy Rigby,Amy Rigby,DIGI,Amazon Mu sic,,17582,04/20 - 04/20,0 .00000000,12,0.02,50.00,$ 0.01
285,Cynical ly Yours - Amy Rigby,Amy Rigby,DIGI,Amy Rigby,,18035,05/20 - 05/20,0 .00000000,15,0.02,50.00,$ 0.01
286,Cynical ly Yours - Amy Rigby,Amy Rigby,Amazon Prime Music - USA,Amazon Prime,,17112,12/19 - 12/19,0 .00000000,12,0.01,50.00,$ 0.01
287,Cynical ly Yours - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17114,11/19 - 11/19,0 .00000000,29,0.04,50.00,$ 0.02
288,Cynical ly Yours - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17130,01/20 - 01/20,0 .00000000,48,0.08,50.00,$ 0.04
289,Cynical ly Yours - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17534,02/20 - 02/20,0 .00000000,67,0.12,50.00,$ 0.06
290,Cynical ly Yours - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17571,03/20 - 03/20,0 .00000000,24,0.04,50.00,$ 0.02
291,Cynical ly Yours - Amy Rigby,Amy Rigby,DIGI,Amazon Prime,,17580,04/20 - 04/20,0 .00000000,16,0.03,50.00,$ 0.01
292,Cynical ly Yours - Amy Rigby,Amy Rigby,DIGI,Amy Rigby,,18033,05/20 - 05/20,0 .00000000,7,0.01,50.00,$ 0.01
293,Cynical ly Yours - Amy Rigby,Amy Rigby,"Apple, Inc. - USA",Amy Rigby,,17309,10/19 - 12/19,0 .00000000,169,0.07,50.00,$ 0.03
294,Cynical ly Yours - Amy Rigby,Amy Rigby,DIGI,Amy Rigby,,17934,01/20 - 03/20,0 .00000000,584,0.26,50.00,$ 0.13
295,Cynical ly Yours - Amy Rigby,Amy Rigby,MECH,Ba ts,,17934,01/20 - 03/20,0 .00000000,4,0.00,50.00,$ 0.00
296,"Apple, Inc. - USA",Amy Rigby,CMRRA - Canada,Apple,,17264,07/17 - 09/17,0 .00000000,0,0.19,50.00,$ 0.10
297,"Apple, Inc. - USA",Amy Rigby,DIGI,Emusic,,17264,07/17 - 09/17,0 .00000000,0,0.10,50.00,$ 0.05
298,"Apple, Inc. - USA",Amy Rigby,"Google, Inc. - USA",Amy Rigby,,17221,10/19 - 12/19,0 .00000000,19,0.02,50.00,$ 0.01
299,"Apple, Inc. - USA",Amy Rigby,"Google, Inc. - YouTube - USA",17464,,DIGI,10/19 - 12/19,0 .00000000,121,0.11,50.00,$ 0.05
300,"Apple, Inc. - USA",Amy Rigby,"Music Reports, Inc. - USA",Pandora Plus,,17006,12/19 - 12/19,0 .00000000,4,0.00,50.00,$ 0.00
301,"Apple, Inc. - USA",Amy Rigby,DIGI,Pandora,,17006,12/19 - 12/19,0 .00000000,1,0.00,50.00,$ 0.00
302,"Apple, Inc. - USA",Amy Rigby,DIGI,Hoopla,,17008,12/19 - 12/19,0 .00000000,1,0.00,50.00,$ 0.00
303,"Apple, Inc. - USA",Amy Rigby,DIGI,Amazon Mu sic,,17014,11/19 - 11/19,0 .00000000,20,0.03,50.00,$ 0.01
304,"Apple, Inc. - USA",Amy Rigby,DIGI,Tidal - Premium,,17016,01/19 - 01/19,0 .00000000,4,0.00,50.00,$ 0.00
305,"Apple, Inc. - USA",Amy Rigby,Pandora - USA,Pandora Plus,,17133,01/20 - 01/20,0 .00000000,6,0.00,50.00,$ 0.00
306,"Apple, Inc. - USA",Amy Rigby,DIGI,Pandora,,17133,01/20 - 01/20,0 .00000000,10,0.01,50.00,$ 0.00
307,"Apple, Inc. - USA",Amy Rigby,DIGI,Pandora,,17133,01/20 - 01/20,0 .00000000,1,0.00,50.00,$ 0.00
308,"Apple, Inc. - USA",Amy Rigby,DIGI,Pandora Plus,,17523,02/20 - 02/20,0 .00000000,7,0.00,50.00,$ 0.00
309,"Apple, Inc. - USA",Amy Rigby,DIGI,Pandora,,17523,02/20 - 02/20,0 .00000000,14,0.01,50.00,$ 0.00
310,"Apple, Inc. - USA",Amy Rigby,DIGI,Pandora,,17523,02/20 - 02/20,0 .00000000,1,0.00,50.00,$ 0.00
311,"Apple, Inc. - USA",Amy Rigby,DIGI,Pandora Plus,,17536,03/20 - 03/20,0 .00000000,7,0.00,50.00,$ 0.00
312,"Apple, Inc. - USA",Amy Rigby,DIGI,Pandora,,17536,03/20 - 03/20,0 .00000000,2,0.00,50.00,$ 0.00
313,"Apple, Inc. - USA",Amy Rigby,DIGI,Pandora Plus,,17583,04/20 - 04/20,0 .00000000,4,0.00,50.00,$ 0.00
314,"Apple, Inc. - USA",Amy Rigby,DIGI,Pandora,,17583,04/20 - 04/20,0 .00000000,2,0.00,50.00,$ 0.00
315,"Apple, Inc. - USA",Amy Rigby,DIGI,Amy Rigby,,18039,05/20 - 05/20,0 .00000000,11,0.00,50.00,$ 0.00
316,"Apple, Inc. - USA",Amy Rigby,"Spotify USA, Inc. - USA",Amy Rigby,,17426,05/19 - 05/19,0 .00000000,25,0.01,50.00,$ 0.00
317,"Apple, Inc. - USA",Amy Rigby,DIGI,Amy Rigby,,17428,06/19 - 06/19,0 .00000000,76,0.03,50.00,$ 0.02
318,"Apple, Inc. - USA",Amy Rigby,DIGI,Amy Rigby,,17431,07/19 - 07/19,0 .00000000,33,0.01,50.00,$ 0.01
319,"Apple, Inc. - USA",Amy Rigby,DIGI,Amy Rigby,,17434,08/19 - 08/19,0 .00000000,51,0.02,50.00,$ 0.01
320,"Apple, Inc. - USA",Amy Rigby,DIGI,Amy Rigby,,17437,09/19 - 09/19,0 .00000000,35,0.01,50.00,$ 0.00
321,"Apple, Inc. - USA",Amy Rigby,DIGI,Amy Rigby,,17440,10/19 - 10/19,0 .00000000,84,0.04,50.00,$ 0.02
322,"Apple, Inc. - USA",Amy Rigby,DIGI,Amy Rigby,,17443,11/19 - 11/19,0 .00000000,97,0.04,50.00,$ 0.02
323,"Apple, Inc. - USA",Amy Rigby,DIGI,Amy Rigby,,17446,12/19 - 12/19,0 .00000000,65,0.02,50.00,$ 0.01
324,"Apple, Inc. - USA",Amy Rigby,DIGI,Amy Rigby,,17929,01/20 - 01/20,0 .00000000,201,0.09,50.00,$ 0.04
325,"Apple, Inc. - USA",Amy Rigby,MECH,Amy Rigby,,17930,02/20 - 02/20,0 .00000000,293,0.13,50.00,$ 0.07
326,"Apple, Inc. - USA",Amy Rigby,MECH,Amy Rigby,,17931,03/20 - 03/20,0 .00000000,111,0.05,50.00,$ 0.03
327,"Apple, Inc. - USA",Amy Rigby,"Th e Orchard Enterprises, Inc. - USA",Amy Rigby,,17393,03/19 - 03/19,0 .00000000,4,0.32,50.00,$ 0.16
328,"Apple, Inc. - USA",Amy Rigby,DIGI,Amy Rigby,,17397,07/19 - 07/19,0 .00000000,4,0.32,50.00,$ 0.16
329,"Apple, Inc. - USA",Amy Rigby,DIGI,Amy Rigby,,17400,10/19 - 10/19,0 .00000000,3,0.25,50.00,$ 0.13
330,"Apple, Inc. - USA",Amy Rigby,DIGI,Amy Rigby,,17402,12/19 - 12/19,0 .00000000,3,0.26,50.00,$ 0.13
331,"Th e Orchard Enterprises, Inc. - USA",Amy Rigby,Tidal - USA,Tidal - Premium,,17524,03/20 - 03/20,0 .00000000,8,0.01,50.00,$ 0.00
332,"Th e Orchard Enterprises, Inc. - USA",Amy Rigby,DIGI,Tidal - Premium,,17584,05/20 - 05/20,0 .00000000,5,0.00,50.00,$ 0.00
333,"Th e Orchard Enterprises, Inc. - USA",Amy Rigby,XUS Interna tional Publ ishing - South Africa,Xandrie S.A.,,17896,07/19 - 12/19,0 .00000000,1,0.03,50.00,$ 0.01
334,"Th e Orchard Enterprises, Inc. - USA",Amy Rigby,XUS Interna tional Publ ishing - United Kingdom,Google,,17896,07/19 - 12/19,0 .00000000,5,0.01,50.00,$ 0.01
335,"Th e Orchard Enterprises, Inc. - USA",Amy Rigby,DIGI,iTunes,,17896,07/19 - 12/19,0 .00000000,1,0.01,50.00,$ 0.01
336,"Th e Orchard Enterprises, Inc. - USA",Amy Rigby,DIGI,iTunes,,17896,07/19 - 12/19,0 .00000000,2,0.08,50.00,$ 0.04
337,Didn't I - Amy Rigby,Amy Rigby,CMRRA - Canada,Emusic,,17264,07/17 - 09/17,0 .00000000,0,0.05,50.00,$ 0.02
338,"Dirty Bridge - Elliot Easton, Amy Rigby",Amy Rigby,CMRRA - Canada,Emusic,,17264,07/17 - 09/17,0 .00000000,0,0.00,50.00,$ 0.00
339,Don't Break The Heart - Amy Rigby,Amy Rigby,Amazon Music Unlimited - USA,Amazon Mu sic,,17582,04/20 - 04/20,0 .00000000,1,0.00,50.00,$ 0.00
340,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,18035,,DIGI,05/20 - 05/20,0 .00000000,2,0.00,50.00,$ 0.00
341,Don't Break The Heart - Amy Rigby,Amy Rigby,"Apple, Inc. - USA",Lau ra Cantrell,,17309,10/19 - 12/19,0 .00000000,154,0.07,50.00,$ 0.03
342,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Mono Puff,,17309,10/19 - 12/19,0 .00000000,114,0.04,50.00,$ 0.02
343,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Lau ra Cantrell,,17934,01/20 - 03/20,0 .00000000,312,0.14,50.00,$ 0.07
344,Don't Break The Heart - Amy Rigby,Amy Rigby,MECH,Mono Puff,,17934,01/20 - 03/20,0 .00000000,98,0.03,50.00,$ 0.02
345,Don't Break The Heart - Amy Rigby,Amy Rigby,CMRRA - Canada,Apple,,17264,07/17 - 09/17,0 .00000000,0,0.19,50.00,$ 0.09
346,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Emusic,,17264,07/17 - 09/17,0 .00000000,0,0.17,50.00,$ 0.08
347,Don't Break The Heart - Amy Rigby,Amy Rigby,"Google, Inc. - USA",Lau ra Cantrell,,17221,10/19 - 12/19,0 .00000000,7,0.01,50.00,$ 0.00
348,Don't Break The Heart - Amy Rigby,Amy Rigby,"Google, Inc. - YouTube - USA",17464,,DIGI,10/19 - 12/19,0 .00000000,7,0.02,50.00,$ 0.01
349,Don't Break The Heart - Amy Rigby,Amy Rigby,"Music Reports, Inc. - USA",Tidal - Premium,,17016,01/19 - 01/19,0 .00000000,4,0.00,50.00,$ 0.00
350,Don't Break The Heart - Amy Rigby,Amy Rigby,"Spotify USA, Inc. - USA",Mono Puff,,17424,04/19 - 04/19,0 .00000000,26,0.01,50.00,$ 0.00
351,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Lau ra Cantrell,,17426,05/19 - 05/19,0 .00000000,26,0.01,50.00,$ 0.00
352,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Mono Puff,,17426,05/19 - 05/19,0 .00000000,112,0.04,50.00,$ 0.02
353,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Lau ra Cantrell,,17428,06/19 - 06/19,0 .00000000,33,0.01,50.00,$ 0.01
354,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Mono Puff,,17428,06/19 - 06/19,0 .00000000,93,0.03,50.00,$ 0.02
355,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Lau ra Cantrell,,17431,07/19 - 07/19,0 .00000000,37,0.01,50.00,$ 0.01
356,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Mono Puff,,17431,07/19 - 07/19,0 .00000000,58,0.03,50.00,$ 0.02
357,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Lau ra Cantrell,,17434,08/19 - 08/19,0 .00000000,32,0.01,50.00,$ 0.01
358,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Mono Puff,,17434,08/19 - 08/19,0 .00000000,56,0.02,50.00,$ 0.01
359,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Lau ra Cantrell,,17437,09/19 - 09/19,0 .00000000,33,0.01,50.00,$ 0.00
360,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Mono Puff,,17437,09/19 - 09/19,0 .00000000,37,0.01,50.00,$ 0.00
361,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Lau ra Cantrell,,17440,10/19 - 10/19,0 .00000000,39,0.02,50.00,$ 0.01
362,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Mono Puff,,17440,10/19 - 10/19,0 .00000000,48,0.02,50.00,$ 0.01
363,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Lau ra Cantrell,,17443,11/19 - 11/19,0 .00000000,31,0.01,50.00,$ 0.00
364,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Mono Puff,,17443,11/19 - 11/19,0 .00000000,40,0.02,50.00,$ 0.01
365,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Lau ra Cantrell,,17446,12/19 - 12/19,0 .00000000,34,0.01,50.00,$ 0.00
366,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Mono Puff,,17446,12/19 - 12/19,0 .00000000,41,0.01,50.00,$ 0.00
367,Don't Break The Heart - Amy Rigby,Amy Rigby,DIGI,Lau ra Cantrell,,17929,01/20 - 01/20,0 .00000000,23,0.01,50.00,$ 0.00
