,title,artist,source,reference,product,income_type,income_period,rate,quantity,amount_received,percent_payable,amount_payable
41,Pandora - USA,Amy Rigby,"Spotify USA, Inc. - USA",Amy Rigby,,17426,05/19 - 05/19,0 .00000000,27,0.01,50.00,$ 0.00
42,Pandora - USA,Amy Rigby,DIGI,Amy Rigby,,17428,06/19 - 06/19,0 .00000000,20,0.01,50.00,$ 0.01
43,Pandora - USA,Amy Rigby,DIGI,Amy Rigby,,17431,07/19 - 07/19,0 .00000000,40,0.02,50.00,$ 0.01
44,Pandora - USA,Amy Rigby,DIGI,Amy Rigby,,17434,08/19 - 08/19,0 .00000000,24,0.01,50.00,$ 0.01
45,Pandora - USA,Amy Rigby,DIGI,Amy Rigby,,17437,09/19 - 09/19,0 .00000000,20,0.01,50.00,$ 0.00
46,Pandora - USA,Amy Rigby,DIGI,Amy Rigby,,17440,10/19 - 10/19,0 .00000000,53,0.02,50.00,$ 0.01
47,Pandora - USA,Amy Rigby,DIGI,Amy Rigby,,17443,11/19 - 11/19,0 .00000000,71,0.03,50.00,$ 0.01
48,Pandora - USA,Amy Rigby,DIGI,Amy Rigby,,17446,12/19 - 12/19,0 .00000000,33,0.01,50.00,$ 0.00
49,Pandora - USA,Amy Rigby,DIGI,Amy Rigby,,17929,01/20 - 01/20,0 .00000000,92,0.04,50.00,$ 0.02
50,Pandora - USA,Amy Rigby,MECH,Amy Rigby,,17930,02/20 - 02/20,0 .00000000,238,0.11,50.00,$ 0.05
51,Pandora - USA,Amy Rigby,MECH,Amy Rigby,,17931,03/20 - 03/20,0 .00000000,64,0.03,50.00,$ 0.01
52,Pandora - USA,Amy Rigby,"Th e Orchard Enterprises, Inc. - USA",Amy Rigby,,17393,03/19 - 03/19,0 .00000000,4,0.32,50.00,$ 0.16
53,Pandora - USA,Amy Rigby,DIGI,Amy Rigby,,17395,05/19 - 05/19,0 .00000000,1,0.08,50.00,$ 0.04
54,Pandora - USA,Amy Rigby,DIGI,Amy Rigby,,17396,06/19 - 06/19,0 .00000000,1,0.08,50.00,$ 0.04
55,Pandora - USA,Amy Rigby,DIGI,Amy Rigby,,17397,07/19 - 07/19,0 .00000000,4,0.32,50.00,$ 0.16
56,Pandora - USA,Amy Rigby,DIGI,Amy Rigby,,17400,10/19 - 10/19,0 .00000000,1,0.09,50.00,$ 0.05
57,Pandora - USA,Amy Rigby,DIGI,Amy Rigby,,17402,12/19 - 12/19,0 .00000000,3,0.23,50.00,$ 0.11
58,Pandora - USA,Amy Rigby,Tidal - USA,Tidal - Premium,,17524,03/20 - 03/20,0 .00000000,8,0.01,50.00,$ 0.00
59,Pandora - USA,Amy Rigby,DIGI,Tidal - Premium,,17584,05/20 - 05/20,0 .00000000,7,0.01,50.00,$ 0.00
60,20th Anniversary - Amy Rigby,Amy Rigby,CMRRA - Canada,Emusic,,17264,07/17 - 09/17,0 .00000000,0,0.01,50.00,$ 0.00
61,All I Want - Amy Rigby,Amy Rigby,AMCOS - Australia,DIGI,17105,50.00,00/ 0 - 03 /19,0 .00000000,2,0.07,50.00,$ 0.04
62,All I Want - Amy Rigby,Amy Rigby,AMCOS - Australia,50.00,DIGI,$ 0.01,17106,00/ 0 - 06 /19,0 .00000000,1,$ 0.01,0.03
63,All I Want - Amy Rigby,Amy Rigby,AMCOS - Australia,Page ,,2,DIGI,17223,00/ 0 - 09 /19,0 .00000000,0.03,1
64,All I Want - Amy Rigby,Amy Rigby,"AMI En tertainment, Inc. - USA",Ronnie Spector,,17362,01/19 - 03/19,0 .00000000,1,0.01,50.00,$ 0.00
65,All I Want - Amy Rigby,Amy Rigby,DIGI,Ronnie Spector,,17363,04/19 - 06/19,0 .00000000,1,0.01,50.00,$ 0.00
66,All I Want - Amy Rigby,Amy Rigby,DIGI,Ronnie Spector,,17364,07/19 - 09/19,0 .00000000,2,0.01,50.00,$ 0.01
67,"AMI En tertainment, Inc. - USA",Amy Rigby,Amazon Music Unlimited - USA,Amazon Mu sic,,17116,12/19 - 12/19,0 .00000000,16,0.02,50.00,$ 0.01
68,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Amazon Mu sic,,17129,01/20 - 01/20,0 .00000000,60,0.09,50.00,$ 0.05
69,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Amazon Mu sic,,17532,02/20 - 02/20,0 .00000000,64,0.11,50.00,$ 0.05
70,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Amazon Mu sic,,17581,03/20 - 03/20,0 .00000000,35,0.05,50.00,$ 0.03
71,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Amazon Mu sic,,17582,04/20 - 04/20,0 .00000000,22,0.03,50.00,$ 0.02
72,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,DIGI,18035,50.00,05/20 - 05/20,0 .00000000,1,0.00,50.00,$ 0.00
73,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,18035,,DIGI,Amy Rigby,05/20 - 05/20,0 .00000000,14,$ 0.01,0.02
74,"AMI En tertainment, Inc. - USA",Amy Rigby,"Apple, Inc. - USA",Amy Rigby,,17309,10/19 - 12/19,0 .00000000,214,0.09,50.00,$ 0.05
75,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Ronnie Spector,,17309,10/19 - 12/19,0 .00000000,447,0.22,50.00,$ 0.11
76,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Amy Rigby,,17934,01/20 - 03/20,0 .00000000,661,0.29,50.00,$ 0.15
77,"AMI En tertainment, Inc. - USA",Amy Rigby,MECH,Ronnie Spector,,17934,01/20 - 03/20,0 .00000000,492,0.24,50.00,$ 0.12
