Title,,,,,,,,,
"",Product,Income,,Income,Rate,Quantity,Amount,%,Amount
Source Ref #,Number,Type,,Period,,,Received Payable,,Payable
20 Questions - Amy Rigby,,,,,,,,,
17130 Amazon Prime,,DIGI,01/20 - 01/20,,0.00000000,42 0.07,,50.00,$ 0.04
17534 Amazon Prime,,DIGI,02/20 - 02/20,,0.00000000,38 0.07,,50.00,$ 0.04
17571 Amazon Prime,,DIGI,03/20 - 03/20,,0.00000000,7 0.01,,50.00,$ 0.01
Title,,,,,,,,,
"",Product,Income,,Income,Rate,Quantity,Amount,%,Amount
Source Ref #,Number,Type,,Period,,,Received Payable,,Payable
17580 Amazon Prime,,DIGI,,04/20 - 04/20,0.00000000,5,0.01,50.00,$ 0.00
18033 Amy Rigby,,DIGI,,05/20 - 05/20,0.00000000,6,0.01,50.00,$ 0.00
"Apple, Inc. - USA",,,,,,,,,
17309 Amy Rigby,,DIGI,,10/19 - 12/19,0.00000000,225,0.10,50.00,$ 0.05
17934 Amy Rigby,,MECH,,01/20 - 03/20,0.00000000,672,0.30,50.00,$ 0.15
CMRRA - Canada,,,,,,,,,
17264 Apple,,DIGI,,07/17 - 09/17,0.00000000,0,0.14,50.00,$ 0.07
17264 Emusic,,DIGI,,07/17 - 09/17,0.00000000,0,0.15,50.00,$ 0.07
"Google, Inc. - USA",,,,,,,,,
17221 Amy Rigby,,DIGI,,10/19 - 12/19,0.00000000,17,0.02,50.00,$ 0.01
"Google, Inc. - YouTube - USA",,,,,,,,,
17464,,DIGI,,10/19 - 12/19,0.00000000,32,0.02,50.00,$ 0.01
"Music Reports, Inc. - USA",,,,,,,,,
17006 Pandora Plus,,DIGI,,12/19 - 12/19,0.00000000,5,0.00,50.00,$ 0.00
17006 Pandora,,DIGI,,12/19 - 12/19,0.00000000,2,0.00,50.00,$ 0.00
17008 Hoopla,,DIGI,,12/19 - 12/19,0.00000000,1,0.00,50.00,$ 0.00
17010 iheart Plus,,DIGI,,12/19 - 12/19,0.00000000,2,0.01,50.00,$ 0.00
17014 Amazon Music,,DIGI,,11/19 - 11/19,0.00000000,31,0.04,50.00,$ 0.02
17016 Tidal - Premium,,DIGI,,01/19 - 01/19,0.00000000,4,0.00,50.00,$ 0.00
Pandora - USA,,,,,,,,,
17133 Pandora Plus,,DIGI,,01/20 - 01/20,0.00000000,9,0.00,50.00,$ 0.00
17133 Pandora,,DIGI,,01/20 - 01/20,0.00000000,14,0.01,50.00,$ 0.00
17523 Pandora Plus,,DIGI,,02/20 - 02/20,0.00000000,8,0.00,50.00,$ 0.00
17523 Pandora,,DIGI,,02/20 - 02/20,0.00000000,10,0.01,50.00,$ 0.00
17536 Pandora Plus,,DIGI,,03/20 - 03/20,0.00000000,5,0.00,50.00,$ 0.00
17536 Pandora,,DIGI,,03/20 - 03/20,0.00000000,4,0.00,50.00,$ 0.00
17583 Pandora Plus,,DIGI,,04/20 - 04/20,0.00000000,6,0.00,50.00,$ 0.00
17583 Pandora,,DIGI,,04/20 - 04/20,0.00000000,3,0.00,50.00,$ 0.00
18039 Amy Rigby,,DIGI,,05/20 - 05/20,0.00000000,13,0.01,50.00,$ 0.00
"Spotify USA, Inc. - USA",,,,,,,,,
17424 Amy Rigby,,DIGI,,04/19 - 04/19,0.00000000,40,0.02,50.00,$ 0.01
17426 Amy Rigby,,DIGI,,05/19 - 05/19,0.00000000,41,0.02,50.00,$ 0.01
17428 Amy Rigby,,DIGI,,06/19 - 06/19,0.00000000,35,0.01,50.00,$ 0.01
17431 Amy Rigby,,DIGI,,07/19 - 07/19,0.00000000,29,0.01,50.00,$ 0.01
17434 Amy Rigby,,DIGI,,08/19 - 08/19,0.00000000,30,0.01,50.00,$ 0.01
17437 Amy Rigby,,DIGI,,09/19 - 09/19,0.00000000,55,0.02,50.00,$ 0.01
17440 Amy Rigby,,DIGI,,10/19 - 10/19,0.00000000,78,0.03,50.00,$ 0.01
17443 Amy Rigby,,DIGI,,11/19 - 11/19,0.00000000,62,0.03,50.00,$ 0.01
17446 Amy Rigby,,DIGI,,12/19 - 12/19,0.00000000,30,0.01,50.00,$ 0.00
17929 Amy Rigby,,MECH,,01/20 - 01/20,0.00000000,172,0.07,50.00,$ 0.04
17930 Amy Rigby,,MECH,,02/20 - 02/20,0.00000000,252,0.11,50.00,$ 0.06
17931 Amy Rigby,,MECH,,03/20 - 03/20,0.00000000,86,0.04,50.00,$ 0.02
Title,,,,,,,,,
"",Product,Income,Income,,Rate,Quantity Amount,,%,Amount
Source Ref #,Number,Type,Period,,,Received Payable,,,Payable
"The Orchard Enterprises, Inc. - USA",,,,,,,,,
17393 Amy Rigby,,DIGI,03/19 - 03/19,,0.00000000,4 0.32,,50.00,$ 0.16
17397 Amy Rigby,,DIGI,07/19 - 07/19,,0.00000000,4 0.32,,50.00,$ 0.16
17399 Amy Rigby,,DIGI,09/19 - 09/19,,0.00000000,1 0.07,,50.00,$ 0.03
17402 Amy Rigby,,DIGI,12/19 - 12/19,,0.00000000,3 0.24,,50.00,$ 0.12
Tidal - USA,,,,,,,,,
17524 Tidal - Premium,,DIGI,03/20 - 03/20,,0.00000000,5 0.00,,50.00,$ 0.00
17584 Tidal - Premium,,DIGI,05/20 - 05/20,,0.00000000,7 0.01,,50.00,$ 0.00
XUS International Publishing - South Africa,,,,,,,,,
17896 Xandrie S.A.,,MECH,07/19 - 12/19,,0.00000000,1 0.03,,50.00,$ 0.01
XUS International Publishing - United Kingdom,,,,,,,,,
17896 BBC,,MECH,07/19 - 12/19,,0.00000000,27 0.03,,50.00,$ 0.01
17896 Google,,DIGI,07/19 - 12/19,,0.00000000,5 0.01,,50.00,$ 0.01
"",,,,,,Composition Total:,,,$ 1.43
Better Stay Gone - Amy Rigby,,,,,,,,,
CMRRA - Canada,,,,,,,,,
17264 Emusic,,DIGI,07/17 - 09/17,,0.00000000,0 0.01,,50.00,$ 0.00
"",,,,,,Composition Total:,,,$ 0.00
Calling Professor Longhair - Amy Rigby,,,,,,,,,
CMRRA - Canada,,,,,,,,,
17264 Emusic,,DIGI,07/17 - 09/17,,0.00000000,0 0.01,,50.00,$ 0.00
"",,,,,,Composition Total:,,,$ 0.00
Cynically Yours - Amy Rigby,,,,,,,,,
Amazon Music Free Tier - USA,,,,,,,,,
17530 Ad-supported,,DIGI,02/20 - 02/20,,0.00000000,1 0.00,,50.00,$ 0.00
18030 Amy Rigby,,DIGI,05/20 - 05/20,,0.00000000,1 0.00,,50.00,$ 0.00
Amazon Music Unlimited - USA,,,,,,,,,
17116 Amazon Music,,DIGI,12/19 - 12/19,,0.00000000,20 0.02,,50.00,$ 0.01
17129 Amazon Music,,DIGI,01/20 - 01/20,,0.00000000,63 0.10,,50.00,$ 0.05
17532 Amazon Music,,DIGI,02/20 - 02/20,,0.00000000,42 0.07,,50.00,$ 0.03
17581 Amazon Music,,DIGI,03/20 - 03/20,,0.00000000,24 0.04,,50.00,$ 0.02
17582 Amazon Music,,DIGI,04/20 - 04/20,,0.00000000,12 0.02,,50.00,$ 0.01
18035 Amy Rigby,,DIGI,05/20 - 05/20,,0.00000000,15 0.02,,50.00,$ 0.01
Amazon Prime Music - USA,,,,,,,,,
17112 Amazon Prime,,DIGI,12/19 - 12/19,,0.00000000,12 0.01,,50.00,$ 0.01
17114 Amazon Prime,,DIGI,11/19 - 11/19,,0.00000000,29 0.04,,50.00,$ 0.02
17130 Amazon Prime,,DIGI,01/20 - 01/20,,0.00000000,48 0.08,,50.00,$ 0.04
17534 Amazon Prime,,DIGI,02/20 - 02/20,,0.00000000,67 0.12,,50.00,$ 0.06
17571 Amazon Prime,,DIGI,03/20 - 03/20,,0.00000000,24 0.04,,50.00,$ 0.02
17580 Amazon Prime,,DIGI,04/20 - 04/20,,0.00000000,16 0.03,,50.00,$ 0.01
18033 Amy Rigby,,DIGI,05/20 - 05/20,,0.00000000,7 0.01,,50.00,$ 0.01
Title,,,,,,,,,
"",Product,Income,,Income,Rate,Quantity,Amount,%,Amount
Source Ref #,Number,Type,,Period,,,Received Payable,,Payable
"Apple, Inc. - USA",,,,,,,,,
17309 Amy Rigby,,DIGI,,10/19 - 12/19,0.00000000,169,0.07,50.00,$ 0.03
17934 Amy Rigby,,MECH,,01/20 - 03/20,0.00000000,584,0.26,50.00,$ 0.13
17934 Bats,,MECH,,01/20 - 03/20,0.00000000,4,0.00,50.00,$ 0.00
CMRRA - Canada,,,,,,,,,
17264 Apple,,DIGI,,07/17 - 09/17,0.00000000,0,0.19,50.00,$ 0.10
17264 Emusic,,DIGI,,07/17 - 09/17,0.00000000,0,0.10,50.00,$ 0.05
"Google, Inc. - USA",,,,,,,,,
17221 Amy Rigby,,DIGI,,10/19 - 12/19,0.00000000,19,0.02,50.00,$ 0.01
"Google, Inc. - YouTube - USA",,,,,,,,,
17464,,DIGI,,10/19 - 12/19,0.00000000,121,0.11,50.00,$ 0.05
"Music Reports, Inc. - USA",,,,,,,,,
17006 Pandora Plus,,DIGI,,12/19 - 12/19,0.00000000,4,0.00,50.00,$ 0.00
17006 Pandora,,DIGI,,12/19 - 12/19,0.00000000,1,0.00,50.00,$ 0.00
17008 Hoopla,,DIGI,,12/19 - 12/19,0.00000000,1,0.00,50.00,$ 0.00
17014 Amazon Music,,DIGI,,11/19 - 11/19,0.00000000,20,0.03,50.00,$ 0.01
17016 Tidal - Premium,,DIGI,,01/19 - 01/19,0.00000000,4,0.00,50.00,$ 0.00
Pandora - USA,,,,,,,,,
17133 Pandora Plus,,DIGI,,01/20 - 01/20,0.00000000,6,0.00,50.00,$ 0.00
17133 Pandora,,DIGI,,01/20 - 01/20,0.00000000,10,0.01,50.00,$ 0.00
17133 Pandora,,DIGI,,01/20 - 01/20,0.00000000,1,0.00,50.00,$ 0.00
17523 Pandora Plus,,DIGI,,02/20 - 02/20,0.00000000,7,0.00,50.00,$ 0.00
17523 Pandora,,DIGI,,02/20 - 02/20,0.00000000,14,0.01,50.00,$ 0.00
17523 Pandora,,DIGI,,02/20 - 02/20,0.00000000,1,0.00,50.00,$ 0.00
17536 Pandora Plus,,DIGI,,03/20 - 03/20,0.00000000,7,0.00,50.00,$ 0.00
17536 Pandora,,DIGI,,03/20 - 03/20,0.00000000,2,0.00,50.00,$ 0.00
17583 Pandora Plus,,DIGI,,04/20 - 04/20,0.00000000,4,0.00,50.00,$ 0.00
17583 Pandora,,DIGI,,04/20 - 04/20,0.00000000,2,0.00,50.00,$ 0.00
18039 Amy Rigby,,DIGI,,05/20 - 05/20,0.00000000,11,0.00,50.00,$ 0.00
"Spotify USA, Inc. - USA",,,,,,,,,
17426 Amy Rigby,,DIGI,,05/19 - 05/19,0.00000000,25,0.01,50.00,$ 0.00
17428 Amy Rigby,,DIGI,,06/19 - 06/19,0.00000000,76,0.03,50.00,$ 0.02
17431 Amy Rigby,,DIGI,,07/19 - 07/19,0.00000000,33,0.01,50.00,$ 0.01
17434 Amy Rigby,,DIGI,,08/19 - 08/19,0.00000000,51,0.02,50.00,$ 0.01
17437 Amy Rigby,,DIGI,,09/19 - 09/19,0.00000000,35,0.01,50.00,$ 0.00
17440 Amy Rigby,,DIGI,,10/19 - 10/19,0.00000000,84,0.04,50.00,$ 0.02
17443 Amy Rigby,,DIGI,,11/19 - 11/19,0.00000000,97,0.04,50.00,$ 0.02
17446 Amy Rigby,,DIGI,,12/19 - 12/19,0.00000000,65,0.02,50.00,$ 0.01
17929 Amy Rigby,,MECH,,01/20 - 01/20,0.00000000,201,0.09,50.00,$ 0.04
17930 Amy Rigby,,MECH,,02/20 - 02/20,0.00000000,293,0.13,50.00,$ 0.07
17931 Amy Rigby,,MECH,,03/20 - 03/20,0.00000000,111,0.05,50.00,$ 0.03
Title,,,,,,,,,
"",Product,Income,Income,,Rate,Quantity Amount,,%,Amount
Source Ref #,Number,Type,Period,,,Received Payable,,,Payable
"The Orchard Enterprises, Inc. - USA",,,,,,,,,
17393 Amy Rigby,,DIGI,03/19 - 03/19,,0.00000000,4 0.32,,50.00,$ 0.16
17397 Amy Rigby,,DIGI,07/19 - 07/19,,0.00000000,4 0.32,,50.00,$ 0.16
17400 Amy Rigby,,DIGI,10/19 - 10/19,,0.00000000,3 0.25,,50.00,$ 0.13
17402 Amy Rigby,,DIGI,12/19 - 12/19,,0.00000000,3 0.26,,50.00,$ 0.13
Tidal - USA,,,,,,,,,
17524 Tidal - Premium,,DIGI,03/20 - 03/20,,0.00000000,8 0.01,,50.00,$ 0.00
17584 Tidal - Premium,,DIGI,05/20 - 05/20,,0.00000000,5 0.00,,50.00,$ 0.00
XUS International Publishing - South Africa,,,,,,,,,
17896 Xandrie S.A.,,MECH,07/19 - 12/19,,0.00000000,1 0.03,,50.00,$ 0.01
XUS International Publishing - United Kingdom,,,,,,,,,
17896 Google,,DIGI,07/19 - 12/19,,0.00000000,5 0.01,,50.00,$ 0.01
17896 iTunes,,DIGI,07/19 - 12/19,,0.00000000,1 0.01,,50.00,$ 0.01
17896 iTunes,,MECH,07/19 - 12/19,,0.00000000,2 0.08,,50.00,$ 0.04
"",,,,,,Composition Total:,,,$ 1.58
Didn't I - Amy Rigby,,,,,,,,,
CMRRA - Canada,,,,,,,,,
17264 Emusic,,DIGI,07/17 - 09/17,,0.00000000,0 0.05,,50.00,$ 0.02
"",,,,,,Composition Total:,,,$ 0.02
"Dirty Bridge - Elliot Easton, Amy Rigby",,,,,,,,,
CMRRA - Canada,,,,,,,,,
17264 Emusic,,DIGI,07/17 - 09/17,,0.00000000,0 0.00,,50.00,$ 0.00
"",,,,,,Composition Total:,,,$ 0.00
Don't Break The Heart - Amy Rigby,,,,,,,,,
Amazon Music Unlimited - USA,,,,,,,,,
17582 Amazon Music,,DIGI,04/20 - 04/20,,0.00000000,1 0.00,,50.00,$ 0.00
18035,,DIGI,05/20 - 05/20,,0.00000000,2 0.00,,50.00,$ 0.00
"Apple, Inc. - USA",,,,,,,,,
17309 Laura Cantrell,,DIGI,10/19 - 12/19,,0.00000000,154 0.07,,50.00,$ 0.03
17309 Mono Puff,,DIGI,10/19 - 12/19,,0.00000000,114 0.04,,50.00,$ 0.02
17934 Laura Cantrell,,MECH,01/20 - 03/20,,0.00000000,312 0.14,,50.00,$ 0.07
17934 Mono Puff,,MECH,01/20 - 03/20,,0.00000000,98 0.03,,50.00,$ 0.02
CMRRA - Canada,,,,,,,,,
17264 Apple,,DIGI,07/17 - 09/17,,0.00000000,0 0.19,,50.00,$ 0.09
17264 Emusic,,DIGI,07/17 - 09/17,,0.00000000,0 0.17,,50.00,$ 0.08
"Google, Inc. - USA",,,,,,,,,
17221 Laura Cantrell,,DIGI,10/19 - 12/19,,0.00000000,7 0.01,,50.00,$ 0.00
"Google, Inc. - YouTube - USA",,,,,,,,,
17464,,DIGI,10/19 - 12/19,,0.00000000,7 0.02,,50.00,$ 0.01
"Music Reports, Inc. - USA",,,,,,,,,
17016 Tidal - Premium,,DIGI,01/19 - 01/19,,0.00000000,4 0.00,,50.00,$ 0.00
Title,,,,,,,,,
"",Product,Income,Income,,Rate,Quantity Amount,,%,Amount
Source Ref #,Number,Type,Period,,,Received Payable,,,Payable
"Spotify USA, Inc. - USA",,,,,,,,,
17424 Mono Puff,,DIGI,04/19 - 04/19,,0.00000000,26 0.01,,50.00,$ 0.00
17426 Laura Cantrell,,DIGI,05/19 - 05/19,,0.00000000,26 0.01,,50.00,$ 0.00
17426 Mono Puff,,DIGI,05/19 - 05/19,,0.00000000,112 0.04,,50.00,$ 0.02
17428 Laura Cantrell,,DIGI,06/19 - 06/19,,0.00000000,33 0.01,,50.00,$ 0.01
17428 Mono Puff,,DIGI,06/19 - 06/19,,0.00000000,93 0.03,,50.00,$ 0.02
17431 Laura Cantrell,,DIGI,07/19 - 07/19,,0.00000000,37 0.01,,50.00,$ 0.01
17431 Mono Puff,,DIGI,07/19 - 07/19,,0.00000000,58 0.03,,50.00,$ 0.02
17434 Laura Cantrell,,DIGI,08/19 - 08/19,,0.00000000,32 0.01,,50.00,$ 0.01
17434 Mono Puff,,DIGI,08/19 - 08/19,,0.00000000,56 0.02,,50.00,$ 0.01
17437 Laura Cantrell,,DIGI,09/19 - 09/19,,0.00000000,33 0.01,,50.00,$ 0.00
17437 Mono Puff,,DIGI,09/19 - 09/19,,0.00000000,37 0.01,,50.00,$ 0.00
17440 Laura Cantrell,,DIGI,10/19 - 10/19,,0.00000000,39 0.02,,50.00,$ 0.01
17440 Mono Puff,,DIGI,10/19 - 10/19,,0.00000000,48 0.02,,50.00,$ 0.01
17443 Laura Cantrell,,DIGI,11/19 - 11/19,,0.00000000,31 0.01,,50.00,$ 0.00
17443 Mono Puff,,DIGI,11/19 - 11/19,,0.00000000,40 0.02,,50.00,$ 0.01
17446 Laura Cantrell,,DIGI,12/19 - 12/19,,0.00000000,34 0.01,,50.00,$ 0.00
17446 Mono Puff,,DIGI,12/19 - 12/19,,0.00000000,41 0.01,,50.00,$ 0.00
17929 Laura Cantrell,,MECH,01/20 - 01/20,,0.00000000,23 0.01,,50.00,$ 0.00
17929 Mono Puff,,MECH,01/20 - 01/20,,0.00000000,32 0.01,,50.00,$ 0.00
17930 Laura Cantrell,,MECH,02/20 - 02/20,,0.00000000,29 0.01,,50.00,$ 0.00
17931 Laura Cantrell,,MECH,03/20 - 03/20,,0.00000000,22 0.01,,50.00,$ 0.00
17931 Mono Puff,,MECH,03/20 - 03/20,,0.00000000,42 0.02,,50.00,$ 0.01
"The Orchard Enterprises, Inc. - USA",,,,,,,,,
17392 Laura Cantrell,,DIGI,01/19 - 01/19,,0.00000000,1 0.08,,50.00,$ 0.04
17393 Laura Cantrell,,DIGI,03/19 - 03/19,,0.00000000,3 0.24,,50.00,$ 0.12
17394 Laura Cantrell,,DIGI,04/19 - 04/19,,0.00000000,1 0.16,,50.00,$ 0.08
17400 Laura Cantrell,,DIGI,10/19 - 10/19,,0.00000000,1 0.08,,50.00,$ 0.04
Tidal - USA,,,,,,,,,
17524 Tidal - Premium,,DIGI,03/20 - 03/20,,0.00000000,2 0.00,,50.00,$ 0.00
XUS International Publishing - United Kingdom,,,,,,,,,
17896 Deezer,,MECH,07/19 - 12/19,,0.00000000,16 0.03,,50.00,$ 0.01
17896 iTunes,,DIGI,07/19 - 12/19,,0.00000000,1 0.01,,50.00,$ 0.01
17896 iTunes,,MECH,07/19 - 12/19,,0.00000000,2 0.06,,50.00,$ 0.03
"",,,,,,Composition Total:,,,$ 0.83
Don't Know Nothing - Amy Rigby,,,,,,,,,
"Apple, Inc. - USA",,,,,,,,,
17309 Amy Rigby,,DIGI,10/19 - 12/19,,0.00000000,8 0.00,,50.00,$ 0.00
17934 Amy Rigby,,MECH,01/20 - 03/20,,0.00000000,38 0.02,,50.00,$ 0.01
Title,,,,,,,,,
"",Product,Income,Income,,Rate,Quantity Amount,,%,Amount
Source Ref #,Number,Type,Period,,,Received Payable,,,Payable
Down Side Of Love - Amy Rigby,,,,,,,,,
CMRRA - Canada,,,,,,,,,
17264 Emusic,,DIGI,07/17 - 09/17,,0.00000000,0 0.06,,50.00,$ 0.03
"",,,,,,Composition Total:,,,$ 0.03
"Every Intention - John Coinman, Amy Rigby",,,,,,,,,
Amazon Music Unlimited - USA,,,,,,,,,
17116 Amazon Music,,DIGI,12/19 - 12/19,,0.00000000,1 0.00,,50.00,$ 0.00
17532 Amazon Music,,DIGI,02/20 - 02/20,,0.00000000,1 0.00,,50.00,$ 0.00
17581 Amazon Music,,DIGI,03/20 - 03/20,,0.00000000,1 0.00,,50.00,$ 0.00
17582 Amazon Music,,DIGI,04/20 - 04/20,,0.00000000,2 0.00,,50.00,$ 0.00
18035 Kevin Costner,,DIGI,05/20 - 05/20,,0.00000000,1 0.00,,50.00,$ 0.00
"Apple, Inc. - USA",,,,,,,,,
17309 Kevin Costner,,DIGI,10/19 - 12/19,,0.00000000,851 0.19,,50.00,$ 0.10
17934 Kevin Costner,,MECH,01/20 - 03/20,,0.00000000,717 0.17,,50.00,$ 0.08
CMRRA - Canada,,,,,,,,,
17264 7digital Inc.,,DIGI,07/17 - 09/17,,0.00000000,0 0.01,,50.00,$ 0.00
17264 Apple,,DIGI,07/17 - 09/17,,0.00000000,0 1.37,,50.00,$ 0.69
17264 Archambaultzik,,DIGI,07/17 - 09/17,,0.00000000,0 0.00,,50.00,$ 0.00
"Google, Inc. - USA",,,,,,,,,
17221 Kevin Costner,,DIGI,10/19 - 12/19,,0.00000000,18 0.01,,50.00,$ 0.00
"Google, Inc. - YouTube - USA",,,,,,,,,
17464,,DIGI,10/19 - 12/19,,0.00000000,68 0.08,,50.00,$ 0.04
IHEART Communications - USA,,,,,,,,,
17113 iheart Premium,,DIGI,01/20 - 01/20,,0.00000000,1 0.00,,50.00,$ 0.00
17131 iheart Premium,,DIGI,01/20 - 01/20,,0.00000000,1 0.00,,50.00,$ 0.00
"Music Reports, Inc. - USA",,,,,,,,,
17006 Pandora Plus,,DIGI,12/19 - 12/19,,0.00000000,31 0.01,,50.00,$ 0.01
17006 Pandora,,DIGI,12/19 - 12/19,,0.00000000,20 0.01,,50.00,$ 0.01
17014 Amazon Music,,DIGI,11/19 - 11/19,,0.00000000,1 0.00,,50.00,$ 0.00
17016 Tidal - Premium,,DIGI,01/19 - 01/19,,0.00000000,3 0.00,,50.00,$ 0.00
Pandora - USA,,,,,,,,,
17133 Pandora Plus,,DIGI,01/20 - 01/20,,0.00000000,32 0.01,,50.00,$ 0.01
17133 Pandora,,DIGI,01/20 - 01/20,,0.00000000,17 0.01,,50.00,$ 0.01
17133 Pandora,,DIGI,01/20 - 01/20,,0.00000000,1 0.00,,50.00,$ 0.00
17523 Pandora Plus,,DIGI,02/20 - 02/20,,0.00000000,28 0.01,,50.00,$ 0.01
17523 Pandora,,DIGI,02/20 - 02/20,,0.00000000,14 0.01,,50.00,$ 0.00
17523 Pandora,,DIGI,02/20 - 02/20,,0.00000000,1 0.00,,50.00,$ 0.00
17536 Pandora Plus,,DIGI,03/20 - 03/20,,0.00000000,24 0.01,,50.00,$ 0.01
17536 Pandora,,DIGI,03/20 - 03/20,,0.00000000,19 0.01,,50.00,$ 0.01
17536 Pandora,,DIGI,03/20 - 03/20,,0.00000000,8 0.00,,50.00,$ 0.00
17583 Pandora Plus,,DIGI,04/20 - 04/20,,0.00000000,37 0.02,,50.00,$ 0.01
17583 Pandora,,DIGI,04/20 - 04/20,,0.00000000,27 0.02,,50.00,$ 0.01
17583 Pandora,,DIGI,04/20 - 04/20,,0.00000000,4 0.00,,50.00,$ 0.00
18039 Kevin Costner,,DIGI,05/20 - 05/20,,0.00000000,66 0.03,,50.00,$ 0.02
Title,,,,,,,,,
"",Product,Income,Income,,Rate,Quantity Amount,,%,Amount
Source Ref #,Number,Type,Period,,,Received Payable,,,Payable
"Spotify USA, Inc. - USA",,,,,,,,,
17424 Kevin Costner,,DIGI,04/19 - 04/19,,0.00000000,41 0.01,,50.00,$ 0.00
17426 Kevin Costner,,DIGI,05/19 - 05/19,,0.00000000,56 0.01,,50.00,$ 0.00
17428 Kevin Costner,,DIGI,06/19 - 06/19,,0.00000000,65 0.01,,50.00,$ 0.01
17431 Kevin Costner,,DIGI,07/19 - 07/19,,0.00000000,75 0.02,,50.00,$ 0.01
17434 Kevin Costner,,DIGI,08/19 - 08/19,,0.00000000,186 0.04,,50.00,$ 0.02
17437 Kevin Costner,,DIGI,09/19 - 09/19,,0.00000000,79 0.02,,50.00,$ 0.01
17440 Kevin Costner,,DIGI,10/19 - 10/19,,0.00000000,69 0.01,,50.00,$ 0.00
17443 Kevin Costner,,DIGI,11/19 - 11/19,,0.00000000,92 0.02,,50.00,$ 0.01
17446 Kevin Costner,,DIGI,12/19 - 12/19,,0.00000000,61 0.01,,50.00,$ 0.00
17929 Kevin Costner,,MECH,01/20 - 01/20,,0.00000000,69 0.02,,50.00,$ 0.01
17930 Kevin Costner,,MECH,02/20 - 02/20,,0.00000000,61 0.01,,50.00,$ 0.00
17931 Kevin Costner,,MECH,03/20 - 03/20,,0.00000000,57 0.01,,50.00,$ 0.00
Tidal - USA,,,,,,,,,
17524 Tidal - Premium,,DIGI,03/20 - 03/20,,0.00000000,3 0.00,,50.00,$ 0.00
17584 Tidal - Premium,,DIGI,05/20 - 05/20,,0.00000000,3 0.00,,50.00,$ 0.00
XUS International Publishing - United Kingdom,,,,,,,,,
17896 Google,,DIGI,07/19 - 12/19,,0.00000000,11 0.01,,50.00,$ 0.01
17896 iTunes,,MECH,07/19 - 12/19,,0.00000000,6 0.09,,50.00,$ 0.04
"",,,,,,Composition Total:,,,$ 1.15
"For New Times Sake - Duane Jarvis, Amy Rigby",,,,,,,,,
CMRRA - Canada,,,,,,,,,
17264 Emusic,,DIGI,07/17 - 09/17,,0.00000000,0 0.00,,50.00,$ 0.00
"",,,,,,Composition Total:,,,$ 0.00
"Good Girls, The - Amy Rigby",,,,,,,,,
Amazon Music Unlimited - USA,,,,,,,,,
17116 Amazon Music,,DIGI,12/19 - 12/19,,0.00000000,9 0.01,,50.00,$ 0.00
17129 Amazon Music,,DIGI,01/20 - 01/20,,0.00000000,38 0.06,,50.00,$ 0.03
17532 Amazon Music,,DIGI,02/20 - 02/20,,0.00000000,32 0.05,,50.00,$ 0.03
17581 Amazon Music,,DIGI,03/20 - 03/20,,0.00000000,16 0.02,,50.00,$ 0.01
17582 Amazon Music,,DIGI,04/20 - 04/20,,0.00000000,6 0.01,,50.00,$ 0.00
18035 Amy Rigby,,DIGI,05/20 - 05/20,,0.00000000,10 0.01,,50.00,$ 0.01
"Apple, Inc. - USA",,,,,,,,,
17309 Amy Rigby,,DIGI,10/19 - 12/19,,0.00000000,169 0.08,,50.00,$ 0.04
17934 Amy Rigby,,MECH,01/20 - 03/20,,0.00000000,355 0.16,,50.00,$ 0.08
CMRRA - Canada,,,,,,,,,
17264 Apple,,DIGI,07/17 - 09/17,,0.00000000,0 0.11,,50.00,$ 0.06
17264 Emusic,,DIGI,07/17 - 09/17,,0.00000000,0 0.12,,50.00,$ 0.06
"Google, Inc. - YouTube - USA",,,,,,,,,
17464,,DIGI,10/19 - 12/19,,0.00000000,24 0.01,,50.00,$ 0.00
IHEART Communications - USA,,,,,,,,,
17131 iheart Plus,,DIGI,01/20 - 01/20,,0.00000000,13 0.01,,50.00,$ 0.00
17131 iheart Premium,,DIGI,01/20 - 01/20,,0.00000000,9 0.00,,50.00,$ 0.00
Title,,,,,,,,,
"",Product,Income,,Income,Rate,Quantity Amount,,%,Amount
Source Ref #,Number,Type,,Period,,Received Payable,,,Payable
"Music Reports, Inc. - USA",,,,,,,,,
17006 Pandora Plus,,DIGI,,12/19 - 12/19,0.00000000,4 0.00,,50.00,$ 0.00
17006 Pandora,,DIGI,,12/19 - 12/19,0.00000000,1 0.00,,50.00,$ 0.00
17014 Amazon Music,,DIGI,,11/19 - 11/19,0.00000000,10 0.01,,50.00,$ 0.01
17016 Tidal - Premium,,DIGI,,01/19 - 01/19,0.00000000,1 0.00,,50.00,$ 0.00
Pandora - USA,,,,,,,,,
17133 Pandora Plus,,DIGI,,01/20 - 01/20,0.00000000,7 0.00,,50.00,$ 0.00
17133 Pandora,,DIGI,,01/20 - 01/20,0.00000000,7 0.00,,50.00,$ 0.00
17523 Pandora Plus,,DIGI,,02/20 - 02/20,0.00000000,4 0.00,,50.00,$ 0.00
17523 Pandora,,DIGI,,02/20 - 02/20,0.00000000,10 0.01,,50.00,$ 0.00
17536 Pandora Plus,,DIGI,,03/20 - 03/20,0.00000000,4 0.00,,50.00,$ 0.00
17536 Pandora,,DIGI,,03/20 - 03/20,0.00000000,1 0.00,,50.00,$ 0.00
17583 Pandora Plus,,DIGI,,04/20 - 04/20,0.00000000,5 0.00,,50.00,$ 0.00
