Title,,,,,,,,,
"",Product,Income,,Income,Rate,Quantity,Amount,%,Amount
Source Ref #,Number,Type,,Period,,,Received Payable,,Payable
20 Questions - Amy Rigby,,,,,,,,,
17396 Amy Rigby,,DIGI,,06/19 - 06/19,0.00000000,1 0.08,,50.00,$ 0.04
17397 Amy Rigby,,DIGI,,07/19 - 07/19,0.00000000,4 0.32,,50.00,$ 0.16
17400 Amy Rigby,,DIGI,,10/19 - 10/19,0.00000000,1 0.09,,50.00,$ 0.05
17402 Amy Rigby,,DIGI,,12/19 - 12/19,0.00000000,3 0.23,,50.00,$ 0.11
Tidal - USA,,,,,,,,,
17524 Tidal - Premium,,DIGI,,03/20 - 03/20,0.00000000,8 0.01,,50.00,$ 0.00
17584 Tidal - Premium,,DIGI,,05/20 - 05/20,0.00000000,7 0.01,,50.00,$ 0.00
"",,,,,,Composition Total:,,,$ 1.51
20th Anniversary - Amy Rigby,,,,,,,,,
CMRRA - Canada,,,,,,,,,
17264 Emusic,,DIGI,,07/17 - 09/17,0.00000000,0 0.01,,50.00,$ 0.00
"",,,,,,Composition Total:,,,$ 0.00
All I Want - Amy Rigby,,,,,,,,,
AMCOS - Australia,,,,,,,,,
17105,,DIGI,,00/ 0 - 03/19,0.00000000,2 0.07,,50.00,$ 0.04
17106,,DIGI,,00/ 0 - 06/19,0.00000000,1 0.03,,50.00,$ 0.01
17223,,DIGI,,00/ 0 - 09/19,0.00000000,1 0.03,,50.00,$ 0.01
Title,,,,,,,,,
"",Product,Income,,Income,Rate,Quantity,Amount,%,Amount
Source Ref #,Number,Type,,Period,,,Received Payable,,Payable
"AMI Entertainment, Inc. - USA",,,,,,,,,
17362 Ronnie Spector,,DIGI,,01/19 - 03/19,0.00000000,1,0.01,50.00,$ 0.00
17363 Ronnie Spector,,DIGI,,04/19 - 06/19,0.00000000,1,0.01,50.00,$ 0.00
17364 Ronnie Spector,,DIGI,,07/19 - 09/19,0.00000000,2,0.01,50.00,$ 0.01
Amazon Music Unlimited - USA,,,,,,,,,
17116 Amazon Music,,DIGI,,12/19 - 12/19,0.00000000,16,0.02,50.00,$ 0.01
17129 Amazon Music,,DIGI,,01/20 - 01/20,0.00000000,60,0.09,50.00,$ 0.05
17532 Amazon Music,,DIGI,,02/20 - 02/20,0.00000000,64,0.11,50.00,$ 0.05
17581 Amazon Music,,DIGI,,03/20 - 03/20,0.00000000,35,0.05,50.00,$ 0.03
17582 Amazon Music,,DIGI,,04/20 - 04/20,0.00000000,22,0.03,50.00,$ 0.02
18035,,DIGI,,05/20 - 05/20,0.00000000,1,0.00,50.00,$ 0.00
18035 Amy Rigby,,DIGI,,05/20 - 05/20,0.00000000,14,0.02,50.00,$ 0.01
"Apple, Inc. - USA",,,,,,,,,
17309 Amy Rigby,,DIGI,,10/19 - 12/19,0.00000000,214,0.09,50.00,$ 0.05
17309 Ronnie Spector,,DIGI,,10/19 - 12/19,0.00000000,447,0.22,50.00,$ 0.11
17934 Amy Rigby,,MECH,,01/20 - 03/20,0.00000000,661,0.29,50.00,$ 0.15
17934 Ronnie Spector,,MECH,,01/20 - 03/20,0.00000000,492,0.24,50.00,$ 0.12
CMRRA - Canada,,,,,,,,,
17264 Apple,,DIGI,,07/17 - 09/17,0.00000000,0,0.53,50.00,$ 0.26
17264 Emusic,,DIGI,,07/17 - 09/17,0.00000000,0,0.08,50.00,$ 0.04
17264 Napster Llc,,DIGI,,07/17 - 09/17,0.00000000,0,0.01,50.00,$ 0.00
"Google, Inc. - USA",,,,,,,,,
17221 Amy Rigby,,DIGI,,10/19 - 12/19,0.00000000,65,0.07,50.00,$ 0.04
17221 Ronnie Spector,,DIGI,,10/19 - 12/19,0.00000000,16,0.02,50.00,$ 0.01
"Google, Inc. - YouTube - USA",,,,,,,,,
17464,,DIGI,,10/19 - 12/19,0.00000000,18,0.02,50.00,$ 0.01
